"city","customer_age","customer_name","customer_segment","discount","order_date","order_id","order_priority","order_quantity","product_base_margin","product_category","product_container","product_name","product_subcategory","profit","region","row_id","sales","ship_date","ship_mode","shipping_cost","state","unit_price","zip_code","order_year","order_quarter","order_month","order_month_name","shipping_days","profit_margin_pct","is_loss_making","discount_band"
"McKeesport","","Jessica Myrick","Small Business","0.1","2012-01-01","28774","High","32","0.68","Office Supplies","Small Box","Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H","Storage & Organization","-111.8","East","4031","180.36","2012-01-02","Regular Air","4.69","Pennsylvania","5.98","15131","2012","Q1","1","January","1","-61.98713683743623","1","6-10%"
"Bowie","","Matt Collister","Home Office","0.08","2012-01-01","13729","Not Specified","9","","Office Supplies","Large Box","Safco Industrial Wire Shelving","Storage & Organization","-342.91","East","1914","872.48","2012-01-03","Express Air","35.0","Maryland","95.99","20715","2012","Q1","1","January","2","-39.30290665688612","1","6-10%"
"Napa","","Alan Schoenberger","Corporate","0.0","2012-01-02","37537","Low","4","0.56","Furniture","Jumbo Drum","Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs","Chairs & Chairmats","-193.08","West","5272","1239.06","2012-01-02","Delivery Truck","48.8","California","291.73","94559","2012","Q1","1","January","0","-15.58278049489129","1","0%"
"Montebello","","Elizabeth Moffitt","Consumer","0.08","2012-01-02","44069","Critical","43","0.39","Office Supplies","Wrap Bag","White GlueTop Scratch Pads","Paper","247.79","West","6225","614.8","2012-01-02","Regular Air","1.97","California","15.04","90640","2012","Q1","1","January","0","40.30416395575797","0","6-10%"
"Napa","","Alan Schoenberger","Corporate","0.07","2012-01-02","37537","Low","43","0.69","Furniture","Jumbo Drum","Hon Valutask™ Swivel Chairs","Chairs & Chairmats","-1049.85","West","5273","4083.19","2012-01-04","Delivery Truck","45.0","California","100.98","94559","2012","Q1","1","January","2","-25.71151477153892","1","6-10%"
"Montebello","","Elizabeth Moffitt","Consumer","0.09","2012-01-02","44069","Critical","16","0.4","Office Supplies","Wrap Bag","Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""","Paper","26.71","West","6224","137.63","2012-01-04","Express Air","2.15","California","9.11","90640","2012","Q1","1","January","2","19.407106008864346","0","6-10%"
"Prior Lake","","David Philippe","Consumer","0.06","2012-01-02","9285","Critical","3","0.36","Office Supplies","Small Box","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","Binders and Binder Accessories","-11.937","Central","1279","124.81","2012-01-04","Regular Air","2.99","Minnesota","40.98","55372","2012","Q1","1","January","2","-9.564137488983254","1","6-10%"
"Napa","","Alan Schoenberger","Corporate","0.05","2012-01-02","37537","Low","32","0.59","Office Supplies","Small Box","Dual Level, Single-Width Filing Carts","Storage & Organization","1438.49","West","5274","4902.38","2012-01-09","Regular Air","7.07","California","155.06","94559","2012","Q1","1","January","7","29.342686613440815","0","1-5%"
"Phenix City","","Patrick Jones","Home Office","0.09","2012-01-03","40354","High","4","0.64","Furniture","Jumbo Box","Bush Advantage Collection® Round Conference Table","Tables","-93.16","South","5705","698.0","2012-01-04","Delivery Truck","52.2","Alabama","212.6","36869","2012","Q1","1","January","1","-13.346704871060172","1","6-10%"
"Draper","","Larry Tron","Home Office","0.05","2012-01-03","9762","High","12","0.78","Furniture","Medium Box","36X48 HARDFLOOR CHAIRMAT","Office Furnishings","-146.05","West","1336","262.76","2012-01-04","Regular Air","21.2","Utah","20.98","84020","2012","Q1","1","January","1","-55.58304155883697","1","1-5%"
